Filename                           Electrostatics        Exchange      Dispersion       Induction     SAPT2+/aVTZ
004_ethanol_dimer_53                    -1.818552        3.984754       -3.917194       -0.518939       -2.269930
004_ethanol_dimer_54                    -1.702512        2.611377       -2.574553       -0.462631       -2.128319
004_ethanol_dimer_55                    -2.136943        4.696861       -4.250351       -0.516018       -2.206451
004_ethanol_dimer_56                    -1.867894        4.078982       -3.883197       -0.515834       -2.187943
004_ethanol_dimer_57                    -1.943624        4.070513       -3.812185       -0.527047       -2.212342
004_ethanol_dimer_58                    -1.844759        4.266606       -4.101179       -0.487816       -2.167148
004_ethanol_dimer_59                    -2.179252        4.117732       -3.460327       -0.549065       -2.070913
004_ethanol_dimer_60                    -2.087952        4.523603       -4.057764       -0.537214       -2.159326
004_ethanol_dimer_61                    -1.804156        3.633750       -3.459299       -0.521751       -2.151456
004_ethanol_dimer_62                    -2.219420        4.809583       -4.209759       -0.641253       -2.260849
004_ethanol_dimer_63                    -1.890298        3.322832       -2.962241       -0.538238       -2.067944
004_ethanol_dimer_64                    -1.841647        4.996018       -4.625945       -0.751227       -2.222801
004_ethanol_dimer_65                    -2.143968        4.339714       -3.881805       -0.528861       -2.214920
004_ethanol_dimer_66                    -1.876751        4.379743       -3.979938       -0.551947       -2.028893
004_ethanol_dimer_67                    -1.462693        1.866618       -1.903330       -0.405203       -1.904609
004_ethanol_dimer_68                    -2.006306        3.621945       -3.006751       -0.474784       -1.865897
004_ethanol_dimer_69                    -1.758738        2.714582       -2.292488       -0.510432       -1.847077
004_ethanol_dimer_70                    -1.178033        3.689240       -3.843401       -0.436794       -1.768988
004_ethanol_dimer_71                    -1.311499        4.720069       -4.498624       -0.685726       -1.775781
004_ethanol_dimer_72                    -0.745435        1.832512       -2.185066       -0.144031       -1.242020
004_ethanol_dimer_73                    -0.926633        3.100135       -3.301881       -0.257200       -1.385579
004_ethanol_dimer_74                    -0.660106        3.238659       -3.518854       -0.334378       -1.274679
004_ethanol_dimer_75                    -0.600943        2.190561       -2.545551       -0.189517       -1.145450
004_ethanol_dimer_76                    -0.451323        1.544307       -1.981814       -0.109917       -0.998745
004_ethanol_dimer_77                    -0.512466        1.714020       -2.055691       -0.140706       -0.994843
