     0.99967900    -0.40849500    -2.67837200
     1.33967700    -0.47597900    -2.67132300
     1.67300900    -0.37875500    -2.66427500
     1.35162200    -0.80527600    -2.55855000
     1.69526700    -0.73144400    -2.55150100
     1.99691100    -0.55077500    -2.54445300
     2.22565500    -0.28358800    -2.53740500
     1.83609800    -1.00894300    -2.39643800
     2.14138600    -0.83135000    -2.38938900
     2.39253800    -0.58297100    -2.38234100
     2.57419500    -0.27998700    -2.37529300
     1.88114200    -1.30090200    -2.20613200
     2.19756800    -1.14229800    -2.19908400
     2.47384100    -0.92101300    -2.19203600
     2.69804700    -0.64708200    -2.18498700
     2.86072000    -0.33266700    -2.17793900
     2.95518300     0.00852000    -2.17089100
     1.96747200    -1.54798800    -1.98058500
     2.28662000    -1.39393100    -1.97353700
     3.21991200     0.04430800    -1.93829500
     3.23221800     0.39853400    -1.93124700
     1.92561800    -1.80690400    -1.72684500
     3.45945000     0.34791800    -1.67045800
     3.42087700     0.70051000    -1.66341000
     3.64732400     0.41421900    -1.38147600
     3.60119300     0.76607200    -1.37442700
     3.50376300     1.10730300    -1.36737900
     3.74569200     0.81831900    -1.06430000
     3.64598600     1.15901700    -1.05725200
     3.50009400     1.48264200    -1.05020400
     3.31086900     1.78299600    -1.04315500
     3.87505800     0.74582000    -0.74007600
     3.78812900     1.09009200    -0.73302800
     3.65628700     1.41978700    -0.72598000
     3.48189400     1.72909200    -0.71893100
     3.26805500     2.01256400    -0.71188300
     3.01856500     2.26522800    -0.70483500
     3.93756900     0.79812800    -0.40175600
     3.84532700     1.14109000    -0.39470700
     3.70950900     1.46924500    -0.38765900
     3.53241000     1.77709100    -0.38061100
     3.31701500     2.05947200    -0.37356200
     3.06694600     2.31166400    -0.36651400
     2.78640400     2.52945300    -0.35946600
     2.48009400     2.70920600    -0.35241700
     2.15314700     2.84792800    -0.34536900
     0.75156700     2.95741300    -0.31717600
     0.40702100     2.87121000    -0.31012700
     0.07644800     2.74134400    -0.30307900
     3.94795200     0.88486500    -0.05638700
     3.84483700     1.22477900    -0.04933800
     3.69904600     1.54869400    -0.04229000
     3.51298200     1.85127700    -0.03524200
     3.28970700     2.12754800    -0.02819300
     3.03289900     2.37296100    -0.02114500
     2.74678300     2.58347600    -0.01409700
     2.43607000     2.75563000    -0.00704800
     2.10587200     2.88658900     0.00000000
     1.76162500     2.97419600     0.00704800
     1.40899300     3.01701100     0.01409700
     1.05378100     3.01432700     0.02114500
     0.70183500     2.96618800     0.02819300
     0.35894700     2.87338300     0.03524200
     0.03076300     2.73744000     0.04229000
     3.92417900     0.92116000     0.28898200
     3.81506600     1.25925500     0.29603100
     3.66332400     1.58048500     0.30307900
     3.47146600     1.87949300     0.31012700
     3.24268100     2.15128900     0.31717600
     2.98077100     2.39133200     0.32422400
     2.69009900     2.59560500     0.33127200
     2.37550900     2.76068600     0.33832100
     2.04225100     2.88380400     0.34536900
     0.63664100     2.92634600     0.37356200
     0.29656400     2.82353200     0.38061100
    -0.02737000     2.67761800     0.38765900
     3.88857000     0.82376700     0.62730300
     3.78891800     1.16482600     0.63435100
     3.64526800     1.48981300     0.64139900
     3.46009000     1.79306500     0.64844800
     3.23658500     2.06928800     0.65549600
     2.97862500     2.31364700     0.66254500
     3.78054600     0.85158700     0.95857500
     3.67254500     1.19015300     0.96562300
     3.51930200     1.51079000     0.97267200
     3.32365000     1.80745900     0.97972000
     3.69466300     0.56185100     1.26870200
     3.62095700     0.90956100     1.27575100
     3.49786500     1.24300300     1.28279900
     3.51857400     0.54612800     1.56473300
     3.44072800     0.89301400     1.57178100
     2.11924800    -1.68259300     1.78323200
     3.31689900    -0.02462400     1.82552200
     3.32756600     0.33082900     1.83257000
     3.27741300     0.68289100     1.83961800
     1.90658700    -1.51590200     2.02992400
     2.22362700    -1.35455800     2.03697200
     2.50451400    -1.13626300     2.04402000
     2.91814500    -0.56136600     2.05811700
     3.03531800    -0.22546000     2.06516500
     3.08584000     0.12669500     2.07221400
     1.83859200    -1.25624800     2.24842200
     2.14941300    -1.08276100     2.25547100
     2.41441700    -0.84508900     2.26251900
     2.62018900    -0.55460600     2.26956700
     2.75603000    -0.22555100     2.27661600
     2.81459000     0.12560300     2.28366400
     1.74598400    -0.97965000     2.43167900
     2.04921800    -0.79244400     2.43872800
     2.29091300    -0.53053100     2.44577600
     2.45234100    -0.21276800     2.45282400
     1.42793100    -0.76013400     2.57264600
     1.75725500    -0.62183100     2.57969500
     2.01765400    -0.37723800     2.58674300
     1.33162400    -0.45054600     2.67837200
     0.00085500     0.31697900    -2.62198500
    -0.34595000     0.27090000    -2.61493600
    -0.65006000     0.09744700    -2.60788800
    -0.41237600     0.58570800    -2.48101800
    -0.73114400     0.43515800    -2.47396900
    -1.87276300    -2.42451100    -0.87399500
     1.68282300    -2.62434700    -0.79646300
    -2.01327100    -2.40392700    -0.54272300
    -1.75865500    -2.65147900    -0.53567400
    -1.47392200    -2.86370400    -0.52862600
     1.23798500    -3.00703500    -0.47223900
     1.54368400    -2.82628700    -0.46519100
     1.82332900    -2.60737900    -0.45814200
    -1.92274900    -2.56413000    -0.19735400
    -1.65220900    -2.79427300    -0.19030500
    -1.35437300    -2.98780000    -0.18325700
    -1.03417000    -3.14151800    -0.17620900
    -0.69689200    -3.25289300    -0.16916000
    -0.34811500    -3.32009100    -0.16211200
